Symbol,P,T,K,B,D,G,F,TH,S,SH,V,DH,Z,ZH,M,N,R,L,Y,CH,JH,HH,NG,W,IY,IH,EH,AE,AA,AO,UW,UH,AH,ER,EY,AY,AW,OW,OY
P,188,98,106,12,6,15,17,13,5,1,3,3,2,2,0,2,2,4,1,2,3,60,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T,55,234,135,2,2,5,8,22,3,4,1,3,2,2,0,0,0,2,0,4,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,72,115,242,1,1,4,7,11,9,4,0,5,1,0,1,2,0,3,2,4,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,32,3,6,190,55,60,31,21,3,0,33,10,3,0,16,9,3,5,0,1,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,13,12,9,42,151,200,9,11,0,0,7,7,0,0,4,5,1,3,6,1,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,14,16,15,15,80,268,7,9,3,1,11,5,6,2,2,11,3,3,9,4,40,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,39,14,13,11,1,4,177,86,55,17,20,13,5,8,3,2,3,2,7,0,1,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,44,16,12,9,8,4,171,127,50,5,5,19,4,0,0,2,0,3,1,1,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,24,8,6,7,7,4,102,79,128,46,10,21,11,18,1,3,4,1,0,1,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH,2,5,0,0,1,0,5,1,49,353,1,2,11,46,1,0,1,2,0,95,43,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,15,9,8,55,16,39,16,42,19,2,101,22,25,6,26,26,22,21,10,5,12,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DH,10,7,6,66,24,28,22,51,7,2,101,23,21,8,17,37,18,19,13,5,12,5,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z,9,2,5,22,11,14,17,39,31,32,57,9,79,43,5,22,22,11,50,2,50,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZH,1,4,2,1,0,3,4,3,7,103,5,2,54,258,2,2,7,4,18,2,150,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,7,0,7,23,2,5,19,4,4,1,14,2,6,2,217,119,20,25,3,2,2,5,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,7,6,6,8,21,12,4,4,5,1,16,2,12,2,67,250,8,11,38,2,2,5,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,4,0,2,14,2,7,5,6,5,0,56,5,10,5,22,24,206,29,78,2,2,5,8,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
L,5,1,0,17,1,4,5,1,3,1,12,2,5,0,78,87,95,128,35,2,2,5,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2,5,5,1,4,10,4,3,6,12,11,2,24,13,6,28,8,5,33,2,2,5,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,2,4,4,1,1,4,0,1,1,95,5,5,2,2,2,2,2,2,2,370,54,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JH,3,2,5,0,3,40,1,1,1,43,12,12,50,150,2,2,2,2,2,40,311,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HH,60,5,5,5,5,5,25,5,20,5,5,5,5,5,5,5,5,5,5,30,5,300,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG,1,0,1,3,2,4,1,1,1,0,8,12,8,2,40,80,8,30,10,2,2,2,350,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,10,3,70,3,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,9,4,1,1,1,1,1,1,1,4,11,1,3,1
IH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,73,6,1,1,1,1,1,3,4,6,1,1,3
EH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,70,11,1,1,1,1,1,1,4,4,1,1,1
AE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,80,3,1,1,1,14,1,1,4,4,1,1
AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,86,4,1,1,4,3,1,1,1,1,1
AO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,63,3,6,4,4,1,1,11,1,9
UW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,37,55,1,1,1,1,1,6,1,1
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,24,52,9,1,1,1,1,9,1
AH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,22,1,1,1,32,22,3,1,1,4,1
ER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,1,6,1,24,4,1,1,1,45,3,1,1,1,1
EY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,1,9,1,1,1,1,1,60,5,1,1,9
AY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,4,1,1,1,1,1,1,1,19,47,1,1,6
AW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,11,14,1,1,1,4,60,5,1
OW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,37,9,1,1,1,27,19,1
OY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,1,1,3,6,1,6,27,57